comment,likes,replies,date,timestamp,seconds,clean_comment,weight,label,confidence,sentiment_score,segment
"53:44 “I bet when you google my picture, 20 years from now, it’ll be a black chick.” I’m dead.",243,9,03/02/2024,53:44,3224,"“i bet when you google my picture, 20 years from now, it’ll be a black chick.” i’m dead.",513,negative,0.53,-1,107
The bit about no one coming to Canada to seek Trudeau's advice had me dying 😂😂😂 2:51:40,136,7,02/27/2024,2:51:40,10300,the bit about no one coming to canada to seek trudeau's advice had me dying 😂😂😂,293,negative,0.62,-1,343
56:00 ask anyone here in the USA if there is censorship! Come on lex get it together,95,15,03/01/2024,56:00,3360,ask anyone here in the usa if there is censorship! come on lex get it together,235,negative,0.73,-1,112
1:20:54 Absolutely. Every war eventually ends by sitting down and negotiating. Why in the hell do we have to repeat this stupid process over and over again? Why do so many people have to die because old men cannot negotiate 🤬😤🤬😤,55,13,03/02/2024,1:20:54,4854,absolutely. every war eventually ends by sitting down and negotiating. why in the hell do we have to repeat this stupid process over and over again? why do so many people have to die because old men cannot negotiate 🤬😤🤬😤,149,negative,0.96,-1,161
"“Men do nothing until they have to. But once they have to, they will do anything” - Tucker Carlson 2:55:19",29,17,02/29/2024,2:55:19,10519,"“men do nothing until they have to. but once they have to, they will do anything” - tucker carlson",109,neutral,0.71,0,350
"1:06:37 Norwegian here. We got a journalist reporting actual real news in Ukraine. When studio took over, they corrected his report at instant.",48,2,03/02/2024,1:06:37,3997,"norwegian here. we got a journalist reporting actual real news in ukraine. when studio took over, they corrected his report at instant.",102,neutral,0.8,0,133
46:22 😂 Tucker got that Tom Cruise strange/awkward laugh,34,10,03/01/2024,46:22,2782,😂 tucker got that tom cruise strange/awkward laugh,98,neutral,0.69,0,92
"2:55:28 such a great line: Men do nothing unless they have to, once they have to, they’ll do anything!",39,2,03/02/2024,2:55:28,10528,"such a great line: men do nothing unless they have to, once they have to, they’ll do anything!",84,positive,0.67,1,350
"1:02:25 Удивительно! Гражданину ""страны со свободой слова""  - Такеру, приходится периодически оправдываться перед аудиторией Лекса в том, что он не поддерживает Путина... И это не упрек в адрес Карлсона, а скорее отражение действительности с которой Такер Карлсон вынужден считаться ))))",35,2,04/09/2024,1:02:25,3745,"удивительно! гражданину ""страны со свободой слова"" - такеру, приходится периодически оправдываться перед аудиторией лекса в том, что он не поддерживает путина... и это не упрек в адрес карлсона, а скорее отражение действительности с которой такер карлсон вынужден считаться ))))",76,neutral,0.83,0,124
"1:24:21 ""Bitch are you in charge?"".....lmao. that one got me.  Tucker does have some good zingers at times.",34,1,03/01/2024,1:24:21,5061,"""bitch are you in charge?"".....lmao. that one got me. tucker does have some good zingers at times.",71,positive,0.54,1,168
45:19 I'm 43 and it's very true this is not the same world we were young in.,23,7,03/01/2024,45:19,2719,i'm 43 and it's very true this is not the same world we were young in.,67,negative,0.82,-1,90
28:10 - WHOA - NEW respect for Tucker.  Freedom means FREE,27,4,03/03/2024,28:10,1690,- whoa - new respect for tucker. freedom means free,66,positive,0.83,1,56
"1:33:52 Вы понятия не имеете, о чем говорите. Вы правда считаете, что памятники Бандере и Шухевичу, переименование улиц их именами и запрет русского языка, избиение русскоговорящих людей на Украине — не являются признаками жесткого украинского неонацизма?",1,19,03/06/2024,1:33:52,5632,"вы понятия не имеете, о чем говорите. вы правда считаете, что памятники бандере и шухевичу, переименование улиц их именами и запрет русского языка, избиение русскоговорящих людей на украине — не являются признаками жесткого украинского неонацизма?",59,neutral,0.8,0,187
2:07:22  the segrada familia is one of the most aesthetically pleasing churches of all time is still being built today in Barcelona.,19,7,02/29/2024,2:07:22,7642,the segrada familia is one of the most aesthetically pleasing churches of all time is still being built today in barcelona.,59,positive,0.97,1,254
"1:02:24 Did he really said that no other country than U.S. has freedom of speech ?  Really ? U.S. are not the only one country with freedom of speech and speaking of it, U.S. is not the country with the highest score on this matter !",16,8,02/27/2024,1:02:24,3744,"did he really said that no other country than u.s. has freedom of speech ? really ? u.s. are not the only one country with freedom of speech and speaking of it, u.s. is not the country with the highest score on this matter !",56,negative,0.71,-1,124
Tucker mocking Lex 1:34:40 to 1:36:30 is hilarious “I wish you would’ve done this more in the supermarket & in front of Putin” Tucker’s response has me dead.,21,2,02/29/2024,1:34:40,5680,tucker mocking lex to is hilarious “i wish you would’ve done this more in the supermarket & in front of putin” tucker’s response has me dead.,48,negative,0.61,-1,189
2:08 the reason for technology not advancing architecture like before is because there is no monarchy funding those things. The 1% that can afford those projects are no longer building things for community and people to come.,13,7,02/29/2024,2:08,128,the reason for technology not advancing architecture like before is because there is no monarchy funding those things. the 1% that can afford those projects are no longer building things for community and people to come.,47,negative,0.71,-1,4
"38:00 minute mark to the 49:19,
Absolutely brilliant assessment. 'Those are the only measures that matter!""",23,0,03/06/2024,38:00,2280,"minute mark to the , absolutely brilliant assessment. 'those are the only measures that matter!""",46,positive,0.96,1,76
"51:37 been to NYC, been to Moscow. Metro system in Moscow: super reliable, trains came every minute, everything was clean and nice. System itself was wider, I could get anywhere. Didn’t use cabs in Moscow at all",17,4,03/02/2024,51:37,3097,"been to nyc, been to moscow. metro system in moscow: super reliable, trains came every minute, everything was clean and nice. system itself was wider, i could get anywhere. didn’t use cabs in moscow at all",46,positive,0.92,1,103
"38:00 Great point by Tucker. People in power are inherently corrupt. It is vital to have proper checks and balance, not trust any one leader. Everybody becomes desperate at some point.",16,3,02/28/2024,38:00,2280,"great point by tucker. people in power are inherently corrupt. it is vital to have proper checks and balance, not trust any one leader. everybody becomes desperate at some point.",41,negative,0.81,-1,76
"1:26:30  they did it to Mariopol and other ""liberated"" cities.",14,4,02/29/2024,1:26:30,5190,"they did it to mariopol and other ""liberated"" cities.",40,negative,0.67,-1,173
"1:40:03 As a Russian interested in the history of Russia-NATO deterioration that's actually the first time I've ever seen or heard somebody reference the intrecacies of the ABM and other missile trearty negotiations. Bush exiting that was a major blow to the rules based order in Europe, at least that's how the Russians see it. Hardly ever discussed like that. This Tucker guy is full of surprises",20,0,02/28/2024,1:40:03,6003,"as a russian interested in the history of russia-nato deterioration that's actually the first time i've ever seen or heard somebody reference the intrecacies of the abm and other missile trearty negotiations. bush exiting that was a major blow to the rules based order in europe, at least that's how the russians see it. hardly ever discussed like that. this tucker guy is full of surprises",40,neutral,0.64,0,200
"1:17 there’s diversity of views, and then there’s people like Tucker who are fundamentally dishonest. He was totally out of his depth in that Putin interview, it was pathetic.",11,6,02/28/2024,1:17,77,"there’s diversity of views, and then there’s people like tucker who are fundamentally dishonest. he was totally out of his depth in that putin interview, it was pathetic.",40,negative,0.9,-1,2
"Why does Tucker Carlson feel the need to profess his honesty at least twice in the first ten minutes of this interview?

I don’t watch Tucker Carlson, but does he always lean so heavily into this “what do I know, I’m just a buffoon” schtick? I’m 1:31 in and I can’t help but think that for being such an influential person, it’s irresponsible to be so constantly out of touch and uninformed. The fact that he is unrepentant about his misrepresentations of Moscow is telling.",10,6,02/28/2024,1:31,91,"why does tucker carlson feel the need to profess his honesty at least twice in the first ten minutes of this interview? i don’t watch tucker carlson, but does he always lean so heavily into this “what do i know, i’m just a buffoon” schtick? i’m in and i can’t help but think that for being such an influential person, it’s irresponsible to be so constantly out of touch and uninformed. the fact that he is unrepentant about his misrepresentations of moscow is telling.",38,negative,0.8,-1,3
2:48 love your approach to interviewing and how you communicate with your listeners. I appreciate you.,17,0,02/29/2024,2:48,168,love your approach to interviewing and how you communicate with your listeners. i appreciate you.,34,positive,0.97,1,5
"58:22 lex, do you mean forced into the conscription van at gunpoint when you say volunteer?",12,3,03/04/2024,58:22,3502,"lex, do you mean forced into the conscription van at gunpoint when you say volunteer?",33,neutral,0.52,0,116
46:16 basically sums it up Tucker,10,4,02/28/2024,46:16,2776,basically sums it up tucker,32,neutral,0.5,0,92
15:35 I love Tuckers laugh. This time it reminded me of the time a wild turkey snuck up on me in my great grandmother's back yard.,11,3,02/29/2024,15:35,935,i love tuckers laugh. this time it reminded me of the time a wild turkey snuck up on me in my great grandmother's back yard.,31,positive,0.95,1,31
"Какие же вы наивные, что утверждаете на 1:32:15 и далее, что термин нацисты не подтверждены фактами😮 
но, блин, у вас обоих было 10 долбанных лет разъяснить этот вопрос, почему же вы не дали себе труда ?",14,1,03/08/2024,1:32:15,5535,"какие же вы наивные, что утверждаете на и далее, что термин нацисты не подтверждены фактами😮 но, блин, у вас обоих было 10 долбанных лет разъяснить этот вопрос, почему же вы не дали себе труда ?",31,neutral,0.82,0,184
